gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
101148,644.0307122,-1.34300082,0.095628359,-14.0439597,8.39E-45,5.80E-43
260315,229.4411041,4.69233123,0.334279235,14.03716037,9.23E-45,6.36E-43
22003,27234.07414,-4.658211645,0.331952587,-14.032762,9.82E-45,6.74E-43
20715,324.2080283,-4.751933866,0.338872256,-14.02278817,1.13E-44,7.73E-43
74735,107.8469026,2.888681615,0.206218716,14.00785377,1.40E-44,9.51E-43
211323,2658.885353,-8.680563945,0.619873198,-14.00377363,1.48E-44,1.00E-42
268935,758.2264419,-6.50890555,0.466084757,-13.96506849,2.55E-44,1.72E-42
29856,13042.09018,-5.466261895,0.39160004,-13.95878789,2.78E-44,1.87E-42
100861702,200.9202346,-7.673434079,0.550239603,-13.94562303,3.35E-44,2.25E-42
18045,1261.150335,-2.242136645,0.160809754,-13.9427901,3.48E-44,2.33E-42
207818,308.1228438,2.702049618,0.193823442,13.9407782,3.58E-44,2.39E-42
108960,338.2643086,1.948219152,0.139772701,13.93848106,3.70E-44,2.46E-42
241308,62.72073152,2.885606829,0.207163874,13.92910244,4.22E-44,2.79E-42
23948,201.7703689,-3.088914843,0.22189712,-13.92048187,4.76E-44,3.14E-42
74424,424.8233565,5.036397084,0.362559141,13.89124286,7.16E-44,4.71E-42
12142,1446.868865,-4.413973694,0.317827471,-13.88795525,7.49E-44,4.91E-42
100042464,177.5621228,-7.516953308,0.541440905,-13.88323867,8.00E-44,5.23E-42
19731,502.4600407,-4.12924987,0.298623916,-13.82759268,1.74E-43,1.13E-41
80297,119.411851,-4.815446033,0.348371643,-13.82272676,1.86E-43,1.21E-41
51789,4907.85227,2.021570515,0.146452654,13.8035772,2.43E-43,1.57E-41
59036,239.1286616,-4.917192558,0.35625244,-13.80255124,2.46E-43,1.58E-41
12314,10930.4526,-1.337927589,0.096954873,-13.79948784,2.57E-43,1.65E-41
70737,1765.090026,5.4054467,0.391890628,13.79325332,2.80E-43,1.79E-41
72058,167.5228107,5.539003359,0.401908915,13.78173797,3.28E-43,2.09E-41
171171,259.8840001,-8.402881905,0.610198524,-13.77073456,3.82E-43,2.43E-41
100042150,497.9113592,-7.815574996,0.567570925,-13.77021736,3.85E-43,2.44E-41
11891,1132.359711,-5.014024882,0.364139096,-13.76953187,3.89E-43,2.45E-41
13822,2054.073168,-2.650527567,0.192530511,-13.76679237,4.04E-43,2.54E-41
100861595,1147.247182,-6.661762157,0.484642423,-13.74572642,5.40E-43,3.39E-41
11766,427.5930991,1.72234326,0.125436839,13.73076099,6.64E-43,4.15E-41
17762,365.2919604,-5.676757269,0.413859111,-13.716642,8.07E-43,5.03E-41
70574,431.6772866,-4.208074567,0.306944857,-13.70954578,8.90E-43,5.53E-41
13844,194.1412733,-5.763349545,0.421067193,-13.68748181,1.21E-42,7.46E-41
80794,442.9347216,2.528978565,0.18482002,13.6834666,1.27E-42,7.86E-41
50786,334.4576424,-8.642482301,0.631687165,-13.68158603,1.31E-42,8.04E-41
232146,90.68335887,-5.468689205,0.400666433,-13.64898267,2.05E-42,1.25E-40
378435,98.14346291,-5.794751583,0.424841653,-13.63979153,2.32E-42,1.42E-40
13803,1547.80026,-5.022461444,0.368239639,-13.63911136,2.34E-42,1.43E-40
24063,881.260001,-3.839117944,0.281638877,-13.63134943,2.61E-42,1.58E-40
270190,318.3580179,-7.62663161,0.559515259,-13.63078394,2.63E-42,1.59E-40
13507,109.2320461,-7.11091167,0.522857998,-13.60008204,4.00E-42,2.41E-40
102941,93.34962943,-3.811616503,0.280635053,-13.58211124,5.11E-42,3.07E-40
18164,992.4351691,-6.657743661,0.490253551,-13.58020487,5.25E-42,3.14E-40
216725,581.7699081,-4.958007734,0.365258228,-13.57397959,5.71E-42,3.41E-40
226421,868.1991518,3.712301702,0.273544195,13.57112223,5.94E-42,3.54E-40
71856,600.5925901,5.851323638,0.43121637,13.56934487,6.09E-42,3.61E-40
233066,791.6777585,4.348002972,0.32053707,13.564743,6.48E-42,3.83E-40
69550,636.2410019,2.837961138,0.209245585,13.56282443,6.65E-42,3.92E-40
23888,1175.367384,-6.484155169,0.47849185,-13.55123431,7.79E-42,4.58E-40
252837,912.9231457,-9.650114628,0.712259514,-13.5485935,8.08E-42,4.73E-40
17242,669.88308,-4.819055275,0.355701478,-13.54803276,8.14E-42,4.76E-40
