"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"100532730",7.95447376049766,1.08730360140795,0.499015718319079,2.17889649863235,0.0293393579465014,0.0520434142176371
"80885",498.645232244748,-1.23633231440695,0.567457437861805,-2.17872254713145,0.0293522857423923,0.0520598037366006
"19718",570.769708269866,0.381204156437852,0.174968776682278,2.17869818642027,0.0293540965824415,0.0520598037366006
"14025",69.0706328070077,1.02733372233864,0.471630512919332,2.17825966343776,0.0293867103881354,0.0521127633688261
"100504200",4.93718350185939,3.65111690134309,1.67622387213238,2.17817975393608,0.0293926567695212,0.0521135465187859
"52793",1.91109250489699,3.49330185077052,1.60375273424981,2.17820476696153,0.0293907953402965,0.0521135465187859
"76303",1560.37534109908,0.281113714604851,0.129075225395338,2.17790605241123,0.0294130318254131,0.0521447888185741
"71711",303.434383023506,-0.424947276676289,0.195143166279499,-2.17761802669352,0.0294344863312058,0.0521779387880397
"108159",423.386343424199,0.393996784086867,0.180938317209086,2.1775198872419,0.0294417996326856,0.0521860170609689
"110880",6.76039261939993,-0.958080219421754,0.440034008843182,-2.17728675549528,0.0294591787576929,0.0522119339696862
"18974",150.382067820022,-0.571880192577815,0.262779288618494,-2.17627574678489,0.0295346479356191,0.0523407922138724
"320040",2.9086817697944,1.9841023966125,0.911786132281962,2.17606116869403,0.0295506870086286,0.0523556661586457
"66576",2315.97316214013,0.290823157214306,0.133647124585713,2.17605248235468,0.0295513364443566,0.0523556661586457
"384275",677.617347081315,0.406586867146095,0.186845777565972,2.17605595610817,0.0295510767270778,0.0523556661586457
"74050",3.85452727033208,3.95160463799005,1.81621382240614,2.17573756417893,0.0295748896500059,0.0523924925742151
"319168",1.44907052962246,4.07804292224326,1.87436999303935,2.17568726419408,0.029578653156756,0.0523942575423349
"68911",792.522403028843,-0.414154108395288,0.190394806804195,-2.17523847076991,0.0296122506694368,0.052443957924901
"319776",1.69471570818938,-2.8440381258409,1.30745696421311,-2.17524415998853,0.0296118245586178,0.052443957924901
"75564",45.5068286473977,-0.782798918393779,0.35996502859753,-2.17465269180083,0.0296561525471848,0.0525167968881777
"77864",215.101133276884,-0.553123535988314,0.254416569227426,-2.17408613624481,0.0296986669397596,0.0525871654201261
"109169",135.858004539484,-0.633009207781021,0.291180110225907,-2.17394384283292,0.0297093528841532,0.0526011677116661
"100216533",31.4954052848055,-0.683072539622632,0.314221046817536,-2.17385991976306,0.0297156568850695,0.0526074097673592
"20586",3357.85361546519,-0.215513520477391,0.0991481086615054,-2.17365236096596,0.0297312529000895,0.0526300993278136
"17527",492.233511355163,-0.574366847198526,0.264333311650832,-2.17288862917599,0.0297887004917472,0.0527268631495504
"209200",548.665920217086,0.307913288870875,0.141802765561849,2.17141948995751,0.0298994769515515,0.0529179936998202
"19725",280.142765946276,-0.962202348354911,0.44331117108621,-2.17048973974038,0.0299697650703619,0.0530374363811788
"11308",1867.96609427349,0.38346037208032,0.176713547295585,2.16995458440384,0.0300102866080963,0.0531041837979155
"230828",3.50002024233563,-1.55310633123297,0.715809137524445,-2.16972129833971,0.0300279655773152,0.0531305018447703
"170936",145.197749776598,-0.514416697461066,0.237133289408358,-2.16931456036612,0.0300588105515883,0.0531801082959983
"71870",21.2906724024279,1.33830777724213,0.617028487217814,2.16895622319898,0.0300860076106323,0.0532232521816044
"69028",172.711457369563,-0.606334469752228,0.279585295052144,-2.16869227560463,0.0301060542178406,0.0532537397758403
"68922",26.090002043574,2.67866680927275,1.23543740963556,2.16819305323038,0.0301440011449185,0.053315882081073
"15468",338.286731006504,-0.563349071610412,0.259852721027777,-2.16795525319972,0.0301620912661744,0.0533428952021059
"68731",188.849714966561,0.393308137594425,0.181424710554776,2.16788626197464,0.0301673413695467,0.0533471972999904
